input_file,row_index,profile_name,chip,expected_profile,expected_power_semantics,actual_power_semantics,energy_source,energy_integration_method,raw_measurement_scope,measurement_scope,nvml_total_energy_supported,nvml_field_power_instant_supported,nvml_field_power_average_supported,power_before_mw,power_after_mw,power_sample_count,power_sample_period_ms,measurement_start_epoch_ms,measurement_end_epoch_ms,status,reasons,notes
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,2,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,17558,17558,0,0,1784029769402,1784029769411,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,3,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,17995,245774,0,0,1784029779690,1784029789792,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,4,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,17491,245776,0,0,1784029797720,1784029807636,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,5,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18215,18215,0,0,1784029815556,1784029815564,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,6,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18052,18052,0,0,1784029825848,1784029825856,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,7,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18616,254830,0,0,1784029836161,1784029846219,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,8,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18246,262779,0,0,1784029854133,1784029864245,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,9,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,19586,19586,0,0,1784029872147,1784029872155,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,10,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18507,18507,0,0,1784029882431,1784029882439,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,11,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18853,265003,0,0,1784029892733,1784029902763,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,12,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18791,254380,0,0,1784029910731,1784029920844,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,13,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,19869,19869,0,0,1784029928780,1784029928788,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,14,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18883,18883,0,0,1784029939071,1784029939078,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,15,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,18690,255052,0,0,1784029949364,1784029959288,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,16,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,110322,266957,0,0,1784029967207,1784029977078,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,17,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,19882,19882,0,0,1784029987400,1784029987408,final_candidate,,
results/raw/rtx3090_component_finalplan_20260714_tensor.csv,18,rtx3090,ga102,rtx3090,one_sec_average,one_sec_average,nvml_total_energy,total_energy_mj_delta,gpu_device_total_energy_counter,gpu_device_total_energy_counter,true,false,false,19547,19547,0,0,1784029995333,1784029995342,final_candidate,,
