estimate_kind,component,estimate,unit,rows,load_repeat_values,r2,rmse_J,intercept_J,median_direct_pj_per_bit,mad_direct_pj_per_bit,denominator_min_bits,denominator_max_bits,median_l1_hit_pct,median_l2_hit_pct,median_long_scoreboard_pct,status,notes
register_scalar_control,scalar_register_pressure,140.56263178484446,pJ/reg-update,10,,nan,nan,nan,nan,2.55965348244753,nan,nan,nan,nan,nan,diagnostic_only,reg_pressure-empty; not pure register-file pJ/bit
tensor_register_pair,wmma_tensor_register_increment,0.38376336222669843,pJ/FLOP,17,,nan,nan,nan,nan,0.2082803905220621,nan,nan,nan,nan,nan,diagnostic_only,"reg_mma-reg_operand_only; effective Tensor+register, not pure Tensor Core"
path_slope,shared_l1_path,5.8600538512313625,pJ/bit,15,"1,2,4,8,16",0.997939104061666,7.807066249922681,-11.379850186134746,5.227871153389535,0.5351609459388547,5373952000000.0,85983232000000.0,27.2387,49.5815,0.000738,ok,
path_slope,global_l1_path,3.072684246498785,pJ/bit,15,"1,2,4,8,16",0.9975031342937709,9.013603372538617,-3.8355576735182524,3.0098556586682044,0.10777810683482292,10747920000000.0,171966400000000.0,99.9989,42.928,17.4286,ok,
path_slope,l2_hit_path,28.294947737957365,pJ/bit,15,"1,2,4,8,16",0.9989155656652876,6.239144399508851,2.8779959828877963,28.47089422062762,1.1997490086554699,1355272000000.0,19789000000000.0,88.3843,99.6563,70.6588,diagnostic_only,L2-hit candidate is L1-dominated; RTX3090 has no clean capacity-only L1-miss/L2-hit W_SM window at this blocks/SM
path_slope,dram_streaming_path,32.59252979601631,pJ/bit,15,"1,2,4,8,16",0.9980728490373455,42.0794821409864,17.973627345995283,32.960541012991484,0.6177446191934877,5419600000000.0,86198400000000.0,49.9997,0.198869,1355.29,ok,
hierarchical_residual,l2_increment_residual,1.3752100939969192,pJ/bit,15,"1,2,4,8,16",0.7408978954459786,5.4425727469133625,6.483280415125007,nan,nan,1355272000000.0,19789000000000.0,88.3843,99.6563,70.6588,not_identified,L2 residual is L1-dominated because L1 hit rate remains high; need L1-bypass/CG loads or a GPU/profile with a real L1-miss/L2-hit capacity window; below reference-plausible L2 transaction range
hierarchical_residual,dram_increment_residual,26.46080985939834,pJ/bit,15,"1,2,4,8,16",0.9970670302276292,42.16676810395392,18.202417641104148,nan,nan,5419600000000.0,86198400000000.0,49.9997,0.198869,1355.29,ok,
nnls_mode_intercept,global_l1_component_nnls,3.064019310200252,pJ/bit,45,,0.9987572681530388,25.116288679472444,nan,nan,nan,nan,nan,nan,nan,nan,ok,active_set_iterations=4
nnls_mode_intercept,l2_increment_nnls,1.3422660412203578,pJ/bit,45,,0.9987572681530388,25.116288679472444,nan,nan,nan,nan,nan,nan,nan,nan,reference_mismatch,active_set_iterations=4; below reference-plausible L2 transaction range
nnls_mode_intercept,dram_increment_nnls,25.13506888622797,pJ/bit,45,,0.9987572681530388,25.116288679472444,nan,nan,nan,nan,nan,nan,nan,nan,ok,active_set_iterations=4
