profile,check,status,expected,actual,evidence
all,power_matrix_exists,pass,exists,True,/mnt/c/users/dmqa/onedrive/문서/gpupower0701/docs/platforms/power_measurement_api_matrix_ko.md
all,power_matrix_core_terms,pass,all core API/scope/gate terms,ok,/mnt/c/users/dmqa/onedrive/문서/gpupower0701/docs/platforms/power_measurement_api_matrix_ko.md
all,ncu_permission_fallback_policy,pass,"counter probe, exact-error sudo retry, child-process coverage",ok,/mnt/c/users/dmqa/onedrive/문서/gpupower0701/scripts/run_ncu_validation.sh
rtx3090,plan_profile_present,pass,present,True,scripts/plan_platform_component_experiment.py
rtx3090,preflight_profile_present,pass,present,True,scripts/preflight_gpu_support.py
rtx3090,plan_cuda_arch,pass,86,86,scripts/plan_platform_component_experiment.py
rtx3090,plan_active_sm,pass,82,82,scripts/plan_platform_component_experiment.py
rtx3090,plan_ncu_chip,pass,ga102,ga102,scripts/plan_platform_component_experiment.py
rtx3090,plan_power_semantics,pass,one_sec_average,one_sec_average,scripts/plan_platform_component_experiment.py
rtx3090,preflight_cuda_arch,pass,86,86,scripts/preflight_gpu_support.py
rtx3090,preflight_active_sm,pass,82,82,scripts/preflight_gpu_support.py
rtx3090,preflight_ncu_chip,pass,ga102,ga102,scripts/preflight_gpu_support.py
rtx3090,preflight_power_semantics,pass,one_sec_average,one_sec_average,scripts/preflight_gpu_support.py
rtx3090,guide_exists,pass,exists,True,/mnt/c/users/dmqa/onedrive/문서/gpupower0701/README.md
rtx3090,guide_power_and_platform_terms,pass,all required guide terms,ok,/mnt/c/users/dmqa/onedrive/문서/gpupower0701/README.md
rtx3090,generated_plan_runs,pass,return code 0,0,wrote shell: /tmp/platform_readiness_ho8ktrok/rtx3090_plan.sh | wrote markdown: /tmp/platform_readiness_ho8ktrok/rtx3090_plan.md
rtx3090,generated_shell_final_gates,pass,power/ncu/matched/reliability gates,ok,plan_platform_component_experiment generated shell
rtx3090,generated_shell_goal_dashboard_order,pass,goal readiness audit before dashboard refresh,ok,plan_platform_component_experiment generated shell
rtx3090,generated_gap_report_tagged,pass,gap report command carries target profile and tag,ok,plan_platform_component_experiment generated shell
rtx3090,generated_default_binary_path,pass,profile-built binary path ./build/a100_fp16_energy_v2,ok,plan_platform_component_experiment generated shell/markdown
rtx3090,generated_markdown_power_api_note,pass,power matrix and effective-energy caveat,ok,plan_platform_component_experiment generated markdown
rtx3090,generated_l2_capacity_policy,pass,0,0,strict L2 policy: l2_cg_load_only; l2_load_only diagnostic-only
