profile,stage,severity,status,check,issue,evidence,likely_cause,corrective_action,power_matrix_relevance,next_command
v100,preflight,blocker,missing,preflight_present,missing,results/summary/v100_component_finalplan_20260708_preflight.md (node preflight report),Required artifact has not been copied back or was not generated on the target node.,"Run strict preflight on the target node with the explicit profile, expected active SM count, binary path, and NCU path, then copy the markdown report back.",Indirect quality or traceability gate.,"python3 scripts/preflight_gpu_support.py --gpu 0 --target-profile v100 --strict --active-sm 80 --binary ./build-v100/a100_fp16_energy_v2 --ncu ""$(command -v ncu || echo ncu)"" --out results/summary/v100_component_finalplan_20260708_preflight.md"
v100,raw energy,blocker,missing,raw_energy_power_policy,no_raw_rows_read,results/raw/v100_component_finalplan_20260708_tensor.csv;results/raw/v100_component_finalplan_20260708_shared.csv;results/raw/v100_component_finalplan_20260708_l1.csv;results/raw/v100_component_finalplan_20260708_l2.csv;results/raw/v100_component_finalplan_20260708_dram.csv (raw energy CSVs),"Raw energy CSVs are absent or empty, so no measurement rows were available.",Run the generated command shell on the target GPU node and copy all tensor/shared/L1/L2/DRAM raw CSV files.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,bash results/summary/v100_component_finalplan_20260708_commands.sh
v100,raw energy,blocker,missing,raw_present,missing=results/raw/v100_component_finalplan_20260708_tensor.csv;results/raw/v100_component_finalplan_20260708_shared.csv;results/raw/v100_component_finalplan_20260708_l1.csv;results/raw/v100_component_finalplan_20260708_l2.csv;results/raw/v100_component_finalplan_20260708_dram.csv,results/raw/v100_component_finalplan_20260708_tensor.csv;results/raw/v100_component_finalplan_20260708_shared.csv;results/raw/v100_component_finalplan_20260708_l1.csv;results/raw/v100_component_finalplan_20260708_l2.csv;results/raw/v100_component_finalplan_20260708_dram.csv (raw energy CSVs),Required artifact has not been copied back or was not generated on the target node.,Run the generated command shell on the target GPU node and copy all tensor/shared/L1/L2/DRAM raw CSV files.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,bash results/summary/v100_component_finalplan_20260708_commands.sh
v100,power API,blocker,missing,power_api_present,missing,results/summary/v100_component_finalplan_20260708_power_api_audit.csv (power API audit),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,python3 scripts/audit_power_api_measurements.py ... --fail-on-provisional --require-explicit-measurement-scope
v100,power state,blocker,missing,power_state_present,missing,results/summary/v100_component_finalplan_20260708_power_state_audit.csv (power-state stability audit),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Indirect quality or traceability gate.,python3 scripts/audit_power_state_stability.py ...
v100,NCU summary,blocker,missing,ncu_summary_present,missing,results/ncu/v100_component_finalplan_ncu_factor_20260708/ncu_cache_validation_summary.csv (NCU counter summary),Required artifact has not been copied back or was not generated on the target node.,Run the NCU sidecar on the target GPU and summarize cache/path counters before copying results back.,"Does not provide energy numerator, but validates FLOP/byte denominator and path attribution.",bash scripts/run_ncu_validation.sh && python3 scripts/summarize_ncu_cache_metrics.py ...
v100,NCU path acceptance,blocker,missing,ncu_acceptance_present,missing,results/summary/v100_component_finalplan_20260708_ncu_acceptance.csv (NCU path acceptance),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,"Does not provide energy numerator, but validates FLOP/byte denominator and path attribution.",python3 scripts/analyze_ncu_path_acceptance.py ...
v100,matched-control,blocker,missing,matched_detail_present,missing,results/summary/v100_component_finalplan_20260708_matched_control_detail.csv (matched-control detail),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,python3 scripts/analyze_matched_control_energy.py ... --require-ncu-denominator --require-total-energy
v100,matched-control,blocker,missing,matched_summary_present,missing,results/summary/v100_component_finalplan_20260708_matched_control_summary.csv (matched-control summary),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,python3 scripts/analyze_matched_control_energy.py ... --require-ncu-denominator --require-total-energy
v100,component reliability,blocker,missing,reliability_present,missing,results/summary/v100_component_finalplan_20260708_component_reliability_audit.csv (component reliability audit),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Indirect quality or traceability gate.,python3 scripts/audit_component_reliability.py ...
v100,instability diagnosis,blocker,missing,instability_present,missing,results/summary/v100_component_finalplan_20260708_matched_control_instability_audit.csv (instability audit),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Indirect quality or traceability gate.,python3 scripts/audit_matched_control_instability.py ...
v100,strict summary,blocker,missing,strict_summary_present,missing,results/summary/v100_strict_scope_fresh_ncu_component_coefficients_20260708.csv (strict component coefficient summary),Required artifact has not been copied back or was not generated on the target node.,Generate or copy the missing artifact listed in the package audit and manifest.,Directly affects final pJ numerator. Required policy: nvml_total_energy + total_energy_mj_delta + gpu_device_total_energy_counter,python3 scripts/build_strict_component_summary.py ...
