component,path,source_artifact,median,unit,ci_low,ci_high,rows,confidence,status,notes
tensor_mma_increment_duration_targeted,reg_mma_minus_reg_operand_only,results/summary/rtx3090_tensor_targeted_rf8_rf16_matched_control_summary_20260708.csv,0.10665776832378673,pJ/FLOP,0.08345353248067165,0.13353183373845223,12,medium-high,accepted,"RF=8/16 blended Tensor candidate: RF=16 lowers combined median; report Tensor as RF-dependent effective coefficient, roughly RF16 lower 0.06-0.09 and RF8 upper 0.14-0.15 pJ/FLOP, not as a single pure circuit value"
tensor_mma_increment_fixed_iter_aux,reg_mma_minus_reg_operand_only,results/summary/rtx3090_tensor_fixed_iter_rf8_rf16_matched_control_summary_20260708.csv,0.14563510742808028,pJ/FLOP,0.108536,0.201568,10,medium-high,accepted_auxiliary,"fixed ITER=8000000 auxiliary check; supports RF8 upper side but mixes RF=8/16; use with RF8/RF16 duration-scaling evidence"
tensor_mma_increment_rf8_duration_scaling_aux,reg_mma_minus_reg_operand_only,results/summary/rtx3090_tensor_rf8_duration_scaling_matched_control_summary_20260708.csv,0.14311392977894904,pJ/FLOP,0.11532833618001187,0.15992343819986568,15,medium-high,accepted_auxiliary,"RF=8 duration-scaling check: seconds=10/20/30, 15/15 valid, power API 30/30 final; slope estimates 0.144-0.156 pJ/FLOP; supports upper side of Tensor method-sensitive range"
tensor_mma_increment_rf16_duration_scaling_aux,reg_mma_minus_reg_operand_only,results/summary/rtx3090_tensor_rf16_duration_scaling_matched_control_summary_20260708.csv,0.07664658010202229,pJ/FLOP,0.054059047134561826,0.09480166280533711,15,medium-high,accepted_auxiliary,"RF=16 duration-scaling check: seconds=10/20/30, 15/15 valid, power API 30/30 final, power-state 30/30 ok; slope estimates 0.053-0.071 pJ/FLOP; proves Tensor coefficient is RF-dependent and should be reported as RF16 lower vs RF8 upper, not a single scalar"
shared_l1_scalar_path,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_fixediter_lr4_lr8_focus_matched_control_summary_20260708.csv,0.14873523687352952,pJ/bit,0.12426786507364977,0.17908585345022285,10,medium-high,accepted,"LR4/LR8 fixed-ITER focus promoted to Shared primary: treatment ITER=17,000,000, power API 30/30 final, power-state 30/30 ok, matched-control 10/10 valid, reliability accepted; targeted mixed-LR 0.152, interleaved 0.145, and LR8 paired 0.177 support the same order while LR16 lower-side remains method-sensitivity evidence"
shared_l1_scalar_path_lr4_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_paired_lr4_30s_stability_matched_control_summary_20260708.csv,0.2363226800687383,pJ/bit,0.21234753084982103,0.2967710266789834,6,medium,accepted_auxiliary,"control-treatment-control paired LR=4 30s auxiliary; power API 18/18 final, power-state 18/18 ok, matched-control 6/6 valid, reliability accepted; confirms LR4 high-side Shared coefficient around 0.22-0.24 pJ/bit"
shared_l1_scalar_path_lr8_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_paired_lr8_30s_combined_matched_control_summary_20260708.csv,0.17683780985788863,pJ/bit,0.1499503129616267,0.18115958218032208,12,medium-high,accepted_auxiliary,"combined control-treatment-control paired LR=8 30s auxiliary from original plus rerun2; power API 36/36 final, power-state 36/36 ok, matched-control 12/12 valid, reliability accepted; NCU sidecar shows shared bytes 1.0748e12 B, L1 bytes 0 B, L2 bytes 3.738e8 B, DRAM bytes 2.737e8 B; reinforces LR8 as reproducible middle evidence between LR4 high-side and LR16 low-side"
shared_l1_scalar_path_lr4_30s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_l2_30s_stability_matched_control_summary_20260708.csv,0.2162184841866812,pJ/bit,0.18958184892467048,0.2345338862794146,9,medium-high,accepted_auxiliary,"LR=4, W_SM=64KiB, B/SM=16, 30s, 10 repeats; 9/10 valid and power API 30/30 final, but one weak-signal row remains; confirms Shared LR4 is higher than mixed LR4/8/16 primary, so report Shared as LR/method-sensitive roughly 0.15-0.24 pJ/bit plus LR16 low-side caution"
shared_l1_scalar_path_lr16_paired_30s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_paired_lr16_30s_combined_matched_control_summary_20260708.csv,0.06354557112089149,pJ/bit,0.04571628485881329,0.10405951151729738,11,medium,accepted_auxiliary,"combined control-treatment-control paired LR=16 30s auxiliary from original plus rerun2; power API 36/36 final, combined power-state 35/36 ok with one original reject excluded before pairing, matched-control 11/12 valid, reliability accepted_with_caution due high spread; rerun2 alone is accepted at 0.086 pJ/bit. LR16 remains lower than LR4/LR8, so use as lower-bound/method-sensitivity evidence, not as replacement primary"
shared_l1_scalar_path_lr16_paired_60s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_paired_lr16_60s_stability_matched_control_summary_20260708.csv,0.076818689336874,pJ/bit,0.04195117453052969,0.10610654663240027,5,low,accepted_low_stability_auxiliary,"control-treatment-control paired LR=16 60s follow-up; power API 18/18 final, power-state 18/18 ok, matched-control 5/6 valid with one weak-signal row, reliability accepted_low_stability; confirms LR16 low-side persists at longer duration but signal fraction remains small, so it is lower-bound/method-sensitivity evidence only"
shared_l1_scalar_path_interleaved_lr4_lr8_lr16_30s_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_interleaved_lr4_lr8_lr16_30s_matched_control_summary_20260708.csv,0.14506066279874935,pJ/bit,0.07694588734724157,0.18760999598729675,12,medium,accepted_auxiliary,"interleaved C-T-C LR=4/8/16 30s follow-up; power API 36/36 final, power-state 36/36 ok, matched-control 12/12 valid, reliability accepted; aggregate median matches targeted primary, while factor summary shows LR4 0.199, LR8 0.145, LR16 0.0618 pJ/bit, confirming LR/method sensitivity rather than pure shared-memory circuit energy"
shared_l1_scalar_path_fixediter_lr4_lr8_lr16_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_fixediter_lr4_lr8_lr16_matched_control_summary_20260708.csv,0.14032742819189833,pJ/bit,0.09371746977145871,0.19342456890613935,8,medium,accepted_with_caution_auxiliary,"fixed-ITER treatment follow-up with LR=4/8/16 and treatment ITER=17,000,000; power API 27/27 final, power-state 18 ok/9 caution all coefficient eligible, matched-control 8/9 valid, reliability accepted_with_caution due one weak LR16 row; bytes scale 1x/2x/4x and aggregate median 0.140 pJ/bit supports the Shared primary order while preserving method-sensitivity caution"
shared_l1_scalar_path_fixediter_lr16_focus_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_shared_fixediter_lr16_focus_matched_control_summary_20260708.csv,0.11693932892462786,pJ/bit,0.1087166727761816,0.12230349923112455,6,medium,accepted_auxiliary,"LR16 fixed-ITER focus rerun with treatment ITER=17,000,000; power API 18/18 final, power-state 18/18 ok, matched-control 6/6 valid, reliability accepted; shows the prior fixed-ITER LR16 weak row was not persistent and places LR16 fixed-ITER lower-mid evidence at ~0.117 pJ/bit"
shared_l1_scalar_path_targeted_mixed_lr_aux,shared_scalar_load_only_minus_clocked_empty,results/summary/rtx3090_targeted_shared_l1_powerstate_filtered_matched_control_summary_20260708.csv,0.15239545954836017,pJ/bit,0.11427689386579652,0.20421034002952104,29,medium,accepted_with_caution_auxiliary,"targeted mixed-LR Shared stability rerun retained as auxiliary: W_SM=64KiB, B/SM=16, LR=4/8/16, power API 120/120 final, matched-control 29/30 valid; one LR16 weak/negative row remains, so use as range support rather than primary"
global_l1_hit_path,global_l1_load_only_minus_clocked_empty,results/summary/rtx3090_l1_paired_30s_combined_matched_control_summary_20260708.csv,0.14847568285000448,pJ/bit,0.1429444591506696,0.17016063207757137,12,medium-high,accepted,"control-treatment-control paired 30s combined run promoted to current Global L1 primary: W_SM=16KiB, B/SM=16, LR=4, two 6-treatment runs combined; power API 36/36 final, power-state 36/36 ok, matched-control 12/12 valid, reliability accepted; duration-scaling 0.156 pJ/bit remains auxiliary support with one invalid detail row"
global_l1_hit_path_duration_scaling_aux,global_l1_load_only_minus_clocked_empty,results/summary/rtx3090_l1_duration_scaling_powerstate_filtered_matched_control_summary_20260708.csv,0.1561091370146893,pJ/bit,0.13031644976301102,0.184611984715379,14,medium-high,accepted_auxiliary,"duration-scaling auxiliary with power-state audit attached: W_SM=16KiB, B/SM=16, LR=4, seconds=10/20/30, 14/15 valid; median 0.156 pJ/bit, OLS slope 0.147 pJ/bit, Theil-Sen slope 0.149 pJ/bit; retained as slope/duration support, not primary, because reliability has one invalid detail row"
global_l1_hit_path_60s_aux,global_l1_load_only_minus_clocked_empty,results/summary/rtx3090_l1_60s_stability_powerstate_filtered_matched_control_summary_20260708.csv,0.11914777440046519,pJ/bit,0.10897282270939639,0.12243400914640098,7,medium,accepted_auxiliary,"60s, W_SM=16KiB, B/SM=16, LR=4, 8 repeats; power API 16/16 final, power-state audit found 1 rejected treatment row and the filtered matched-control summary excludes it before pairing; median is lower than the 30s 0.153-0.156 pJ/bit runs, so use as control-drift/thermal sensitivity evidence, not as a replacement primary value"
global_l1_hit_path_lr8_paired_30s_aux,global_l1_load_only_minus_clocked_empty,results/summary/rtx3090_l1_paired_lr8_30s_stability_matched_control_summary_20260708.csv,0.10904234486631326,pJ/bit,0.08794267694165234,0.12903365042531625,6,medium,accepted_auxiliary,"control-treatment-control paired LR=8 30s auxiliary; power API 18/18 final, power-state 18/18 ok, matched-control 6/6 valid, reliability accepted; lower than LR4 paired 0.148 pJ/bit and close to 60s auxiliary 0.119 pJ/bit, so Global L1 is duration/load-repeat sensitive and should be reported as an effective range around 0.11-0.16 pJ/bit rather than a pure constant"
l2_hit_cg_path,l2_cg_load_only_minus_clocked_empty,results/summary/rtx3090_l2_paired_lr4_lr8_30s_combined_matched_control_summary_20260708.csv,1.016556433726509,pJ/bit,0.9473333505165014,1.0711219304762705,12,medium-high,accepted,"control-treatment-control paired LR=4/LR=8 30s combined run promoted to current L2 primary: W_SM=64KiB, B/SM=16, 12/12 valid, power API 36/36 final, power-state 36/36 ok, reliability accepted; targeted mixed-LR 0.978 pJ/bit remains auxiliary support with one power-state caution metadata row"
l2_hit_cg_path_targeted_aux,l2_cg_load_only_minus_clocked_empty,results/summary/rtx3090_targeted_l2_powerstate_filtered_matched_control_summary_20260708.csv,0.9781974616407318,pJ/bit,0.9348647200511722,1.1394076724637086,30,medium-high,accepted_auxiliary,"targeted L2 stability rerun with power-state audit attached: W_SM=64KiB, B/SM=16, LR=4/8/16, 20s, 10 repeats; 30/30 valid; reliability accepted; one control temperature caution is coefficient-eligible and did not create invalid matched rows, so retained as mixed-LR support rather than primary"
l2_hit_cg_path_lr4_paired_30s_aux,l2_cg_load_only_minus_clocked_empty,results/summary/rtx3090_l2_paired_lr4_30s_stability_matched_control_summary_20260708.csv,1.0272539734213253,pJ/bit,0.9835597417446175,1.129187704812146,6,medium,accepted_auxiliary,"control-treatment-control paired LR=4 30s auxiliary; power API 18/18 final, power-state 18/18 ok, matched-control 6/6 valid, reliability accepted; supports the paired L2 primary around 1.0 pJ/bit and shows paired ordering reduces the older LR4 high-side drift"
l2_hit_cg_path_lr8_paired_30s_aux,l2_cg_load_only_minus_clocked_empty,results/summary/rtx3090_l2_paired_lr8_30s_stability_matched_control_summary_20260708.csv,0.9596403819965263,pJ/bit,0.8979156650194069,1.0999309840237017,6,medium,accepted_auxiliary,"control-treatment-control paired LR=8 30s auxiliary; power API 18/18 final, power-state 18/18 ok, matched-control 6/6 valid, reliability accepted; NCU sidecar shows L1 hit 0.000003%, L2 hit 99.9368%, L2 bytes 1.076e12 B, DRAM bytes 1.262e9 B; reinforces the paired L2 primary around 1.0 pJ/bit"
l2_hit_cg_path_lr4_30s_aux,l2_cg_load_only_minus_clocked_empty,results/summary/rtx3090_shared_l2_30s_stability_matched_control_summary_20260708.csv,1.2976392121691205,pJ/bit,1.1228286639746263,1.3384726309382051,9,medium-high,accepted_auxiliary,"non-paired LR=4, W_SM=64KiB, B/SM=16, 30s, 10 repeats; 9/10 valid and power API 30/30 final, but one L2 row is power-state reject and negative; now treated as drift/order-sensitive high-side evidence because the cleaner C-T-C paired LR4 rerun is 1.027 pJ/bit"
dram_cg_stream_path,dram_cg_load_only_minus_clocked_empty,results/summary/rtx3090_finalplan_stability_factor_exactncu_matched_control_summary_20260708.csv,3.5406977697485584,pJ/bit,2.963,4.454,9,medium-high,accepted_sanity,"RTX 3090 GDDR6X streaming sanity; not physical DRAM device energy"
