component,role,label,mode,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,acceptance,acceptance_reason,ncu_binary_sha256,ncu_binary_path,ncu_binary_hash_capture,ncu_quiescence_status,tensor_hmma_inst,tensor_fp16_f32_ops,sass_inst_executed,registers_per_thread,spill_zero_verified,shared_accesses,shared_read_bytes,shared_bank_conflicts,l1_accesses,l1_request_bytes,l1_path_hit_rate_pct,l2_accesses,l2_read_bytes,l2_path_hit_rate_pct,l2_native_read_hit_rate_pct,l2_logical_read_hit_rate_pct,dram_accesses,dram_read_bytes,dram_read_bandwidth_GBps,stall_long_scoreboard_pct
tensor,control,reg_operand_only_W1_B16_RF1,reg_operand_only,1,16,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,6.97127e+08,16,1,0,0,0,0,0,,0,0,,103.113,,0,0,0,0.111272
tensor,control,reg_operand_only_W1_B16_RF16,reg_operand_only,1,16,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,1.96801e+10,16,1,0,0,0,0,0,,0,0,19.1785,27.1674,,1.96207e+06,6.15306e+07,0.989861,0.011123
tensor,control,reg_operand_only_W1_B16_RF4,reg_operand_only,1,16,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,5.51049e+09,16,1,0,0,0,0,0,,0,0,,20.2173,,517544,1.65614e+07,1.02965,0.014262
tensor,control,reg_operand_only_W1_B4_RF1,reg_operand_only,1,4,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,1.74282e+08,16,1,0,0,0,0,0,,0,0,,95.0257,,144,4608,0.00164914,0.074362
tensor,control,reg_operand_only_W1_B4_RF16,reg_operand_only,1,4,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,4.92002e+09,16,1,0,0,0,0,0,,0,0,,19.7433,,1.6871e+06,5.39872e+07,1.01638,0.002861
tensor,control,reg_operand_only_W1_B4_RF4,reg_operand_only,1,4,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,1.37762e+09,16,1,0,0,0,0,0,,0,0,,14.8257,,619732,1.98314e+07,1.42607,0.009351
tensor,control,reg_operand_only_W1_B8_RF1,reg_operand_only,1,8,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,3.48564e+08,16,1,0,0,0,0,0,,0,0,,115.487,,4,128,4.5453e-05,0.103442
tensor,control,reg_operand_only_W1_B8_RF16,reg_operand_only,1,8,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,9.84005e+09,16,1,0,0,0,0,0,,0,0,,19.7186,,1.86038e+06,5.95322e+07,1.01431,0.00353
tensor,control,reg_operand_only_W1_B8_RF4,reg_operand_only,1,8,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,0,0,2.75525e+09,16,1,0,0,0,0,0,,0,0,,17.5287,,619808,1.98339e+07,1.26785,0.012863
tensor,treatment,reg_mma_W1_B16_RF1,reg_mma,1,16,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,2.624e+08,1.07479e+12,2.78815e+09,34,1,0,0,0,0,0,,0,0,,16.7146,,621128,1.98761e+07,1.17703,0.027634
tensor,treatment,reg_mma_W1_B16_RF16,reg_mma,1,16,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,4.1984e+09,1.71966e+13,5.95649e+10,28,1,0,0,0,0,0,,0,0,,21.0999,,8.01563e+06,2.56455e+08,1.00363,0.001275
tensor,treatment,reg_mma_W1_B16_RF4,reg_mma,1,16,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,1.0496e+09,4.29916e+12,1.54817e+10,28,1,0,0,0,0,0,,0,0,,21.4936,,1.93098e+06,6.17894e+07,0.966954,0.007164
tensor,treatment,reg_mma_W1_B4_RF1,reg_mma,1,4,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,6.56e+07,2.68698e+11,6.97038e+08,34,1,0,0,0,0,0,,156073,4.99434e+06,,21.2246,,173136,487296,0.0610622,0.053965
tensor,treatment,reg_mma_W1_B4_RF16,reg_mma,1,4,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,1.0496e+09,4.29916e+12,1.48912e+10,28,1,0,0,0,0,0,,0,0,,20.8516,,3.58077e+06,1.14585e+08,1.00021,0.000877
tensor,treatment,reg_mma_W1_B4_RF4,reg_mma,1,4,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,2.624e+08,1.07479e+12,3.87043e+09,28,1,0,0,0,0,0,,0,0,,28.4798,,619724,1.98312e+07,0.682068,0.003405
tensor,treatment,reg_mma_W1_B8_RF1,reg_mma,1,8,82,1,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,1.312e+08,5.37395e+11,1.39408e+09,34,1,0,0,0,0,0,,0,0,,12.4076,,452724,1.44872e+07,1.79427,0.026176
tensor,treatment,reg_mma_W1_B8_RF16,reg_mma,1,8,82,16,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,2.0992e+09,8.59832e+12,2.97825e+10,28,1,0,0,0,0,0,,0,0,,19.5496,,4.13326e+06,1.32264e+08,1.05159,0.001157
tensor,treatment,reg_mma_W1_B8_RF4,reg_mma,1,8,82,4,1,accepted,pass,500bcb73a3dffebc92f041072ccba3ff5f4f85a836e045ba6eff9715cdb99862,./build/a100_fp16_energy_v2,pre_post_collection_verified,skipped,5.248e+08,2.14958e+12,7.74086e+09,28,1,0,0,0,0,0,,0,0,,25.282,,779352,2.49393e+07,0.775622,0.00454
